DATA;CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;CASO_CONF;CASO_ACOMP;CASO_TOTAL;CURADOS;ATIVOS;OBITO_ACUM;DIAS_ULTIMO_CASO;POP_MUN;OBITO_NOVO;LETALIDADE;PREVALENCIA
2021-09-03;2919926;291992;MADRE DE DEUS;Madre de Deus;Leste;Salvador;-38,642732;-12,741114;2843;0;2843;2789;7;47;0;21432;0;1,65;13265,21
2021-09-03;2919959;291995;MAETINGA;Maetinga;Sudoeste;Vitória da Conquista;-41,516221;-14,655594;294;0;294;286;1;7;6;2764;0;2,38;10636,76
2021-09-03;2920007;292000;MAIQUINIQUE;Maiquinique;Sudoeste;Itapetinga;-40,269103;-15,674;796;0;796;785;0;12;16;10206;0;1,51;7799,33
2021-09-03;2920106;292010;MAIRI;Mairi;Centro-norte;Jacobina;-40,180633;-11,731684;1310;0;1310;1297;0;16;9;18602;0;1,22;7042,25
2021-09-03;2920205;292020;MALHADA;Malhada;Sudoeste;Guanambi;-43,646023;-14,217166;519;0;519;500;0;22;12;16861;0;4,24;3078,11
2021-09-03;2920304;292030;MALHADA DE PEDRAS;Malhada de Pedras;Sudoeste;Brumado;-41,845423;-14,35221;445;0;445;436;0;9;1;8359;0;2,02;5323,6
2021-09-03;2920403;292040;MANOEL VITORINO;Manoel Vitorino;Sul;Jequié;-40,547598;-14,050875;1324;1;1325;1293;0;32;7;13087;0;2,42;10116,91
2021-09-03;2920452;292045;MANSIDÃO;Mansidão;Oeste;Barreiras;-44,108375;-11,128067;218;0;218;213;0;7;9;13734;0;3,21;1587,3
2021-09-03;2920502;292050;MARACÁS;Maracás;Sul;Jequié;-40,555233;-13,495182;3725;1;3726;3656;0;72;0;20393;0;1,93;18266,07
2021-09-03;2920601;292060;MARAGOGIPE;Maragogipe;Leste;Cruz das Almas;-38,938094;-12,823065;2348;0;2348;2301;0;48;0;44793;0;2,04;5241,89
2021-09-03;2920700;292070;MARAÚ;Maraú;Sul;Itabuna;-39,150518;-14,155713;1761;0;1761;1740;2;19;6;20617;0;1,08;8541,49
2021-09-03;2920809;292080;MARCIONÍLIO SOUZA;Marcionílio Souza;Centro-leste;Itaberaba;-40,675298;-13,140047;579;0;579;562;0;19;15;10380;0;3,28;5578,03
2021-09-03;2920908;292090;MASCOTE;Mascote;Sul;Ilhéus;-39,420513;-15,666085;821;0;821;797;1;23;1;13717;0;2,8;5985,27
2021-09-03;2921005;292100;MATA DE SÃO JOÃO;Mata de São João;Leste;Camaçari;-38,148861;-12,483976;4390;1;4391;4306;19;65;0;47126;0;1,48;9315,45
2021-09-03;2921054;292105;MATINA;Matina;Sudoeste;Guanambi;-42,940068;-13,848844;459;0;459;452;0;9;2;12283;0;1,96;3736,87
2021-09-03;2921104;292110;MEDEIROS NETO;Medeiros Neto;Extremo sul;Teixeira de Freitas;-40,285633;-17,361298;2791;1;2792;2705;30;56;0;22716;0;2,01;12286,49
2021-09-03;2921203;292120;MIGUEL CALMON;Miguel Calmon;Centro-norte;Jacobina;-40,624217;-11,420634;2649;1;2650;2609;10;30;0;25894;0;1,13;10230,17
2021-09-03;2921302;292130;MILAGRES;Milagres;Leste;Santo Antônio de Jesus;-39,797586;-12,899946;649;0;649;640;2;7;5;10893;1;1,08;5957,95
2021-09-03;2921401;292140;MIRANGABA;Mirangaba;Centro-norte;Jacobina;-40,714509;-10,776985;525;0;525;519;0;8;19;18474;0;1,52;2841,83
2021-09-03;2921450;292145;MIRANTE;Mirante;Sudoeste;Vitória da Conquista;-40,764087;-14,167821;528;0;528;517;3;8;0;8447;0;1,52;6250,74
2021-09-03;2921500;292150;MONTE SANTO;Monte Santo;Centro-leste;Serrinha;-39,454202;-10,382988;1517;0;1517;1453;0;64;2;49278;0;4,22;3078,45
2021-09-03;2921609;292160;MORPARÁ;Morpará;Oeste;Ibotirama;-43,039818;-11,75079;329;0;329;316;0;14;11;8497;0;4,26;3871,95
2021-09-03;2921708;292170;MORRO DO CHAPÉU;Morro do Chapéu;Centro-norte;Jacobina;-41,16706;-11,464875;2624;0;2624;2586;10;28;2;35440;0;1,07;7404,06
2021-09-03;2921807;292180;MORTUGABA;Mortugaba;Sudoeste;Guanambi;-42,320291;-14,972641;960;0;960;946;1;13;3;12052;0;1,35;7965,48
2021-09-03;2921906;292190;MUCUGÊ;Mucugê;Centro-leste;Seabra;-41,474908;-13,065099;564;0;564;553;0;11;1;8889;0;1,95;6344,92
2021-09-03;2922003;292200;MUCURI;Mucuri;Extremo sul;Teixeira de Freitas;-39,867012;-18,059175;3844;3;3847;3767;13;64;0;42251;1;1,66;9098,01
2021-09-03;2922052;292205;MULUNGU DO MORRO;Mulungu do Morro;Centro-norte;Irecê;-41,523939;-11,977766;633;0;633;619;2;12;7;10673;0;1,9;5930,85
2021-09-03;2922102;292210;MUNDO NOVO;Mundo Novo;Centro-leste;Feira de Santana;-40,559365;-11,952823;894;0;894;886;0;8;12;26970;0;0,89;3314,79
