"DATA";"NRS";"ENFERMARIA_ADULTO_TOTAL";"ENFERMARIA_ADULTO_OCUPADOS";"ENFERMARIA_PEDIATRICA_TOTAL";"ENFERMARIA_PEDIATRICA_OCUPADOS";"UTI_ADULTO_TOTAL";"UTI_ADULTO_OCUPADOS";"UTI_PEDIATRICA_TOTAL";"UTI_PEDIATRICA_OCUPADOS";"ENFERMARIA_ADULTO_VAGOS";"ENFERMARIA_PEDIATRICA_VAGOS";"UTI_ADULTO_VAGOS";"UTI_PEDIATRICA_VAGOS";"ENFERMARIA_GERAL_TOTAL";"ENFERMARIA_GERAL_OCUPADOS";"ENFERMARIA_GERAL_VAGOS";"UTI_GERAL_TOTAL";"UTI_GERAL_OCUPADOS";"UTI_GERAL_VAGOS";"LEITOS_TOTAL";"LEITOS_OCUPADOS";"LEITOS_VAGOS";"ENFERMARIA_ADULTO_TX_OCUPACAO";"ENFERMARIA_PEDIATRICA_TX_OCUPACAO";"UTI_ADULTO_TX_OCUPACAO";"UTI_PEDIATRICA_TX_OCUPACAO";"ENFERMARIA_GERAL_TX_OCUPACAO";"UTI_GERAL_TX_OCUPACAO";"LEITOS_TX_OCUPACAO"
2020-06-12;"NORTE";79;13;2;0;20;18;0;0;66;2;2;0;81;13;68;20;18;2;101;31;70;0,1646;0;0,9;NA;0,1605;0,9;0,3069
2020-06-12;"OESTE";20;3;0;0;11;7;0;0;17;0;4;0;20;3;17;11;7;4;31;10;21;0,15;NA;0,6364;NA;0,15;0,6364;0,3226
2020-06-12;"SUDOESTE";72;13;0;0;50;23;1;0;59;0;27;1;72;13;59;51;23;28;123;36;87;0,1806;NA;0,46;0;0,1806;0,451;0,2927
2020-06-12;"SUL";131;53;10;1;74;65;3;0;78;9;9;3;141;54;87;77;65;12;218;119;99;0,4046;0,1;0,8784;0;0,383;0,8442;0,5459
2020-06-15;"CENTRO-LESTE";108;22;20;0;38;17;10;3;86;20;21;7;128;22;106;48;20;28;176;42;134;0,2037;0;0,4474;0,3;0,1719;0,4167;0,2386
2020-06-15;"CENTRO-NORTE";55;2;0;0;5;4;0;0;53;0;1;0;55;2;53;5;4;1;60;6;54;0,0364;NA;0,8;NA;0,0364;0,8;0,1
2020-06-15;"EXTREMO-SUL";20;11;0;0;19;17;0;0;9;0;2;0;20;11;9;19;17;2;39;28;11;0,55;NA;0,8947;NA;0,55;0,8947;0,7179
2020-06-15;"LESTE";598;443;17;10;520;440;17;6;155;7;80;11;615;453;162;537;446;91;1152;899;253;0,7408;0,5882;0,8462;0,3529;0,7366;0,8305;0,7804
2020-06-15;"NORDESTE";21;2;0;0;15;9;0;0;19;0;6;0;21;2;19;15;9;6;36;11;25;0,0952;NA;0,6;NA;0,0952;0,6;0,3056
2020-06-15;"NORTE";59;16;0;0;20;18;0;0;43;0;2;0;59;16;43;20;18;2;79;34;45;0,2712;NA;0,9;NA;0,2712;0,9;0,4304
2020-06-15;"OESTE";20;6;0;0;9;6;0;0;14;0;3;0;20;6;14;9;6;3;29;12;17;0,3;NA;0,6667;NA;0,3;0,6667;0,4138
2020-06-15;"SUDOESTE";72;18;0;0;50;25;1;0;54;0;25;1;72;18;54;51;25;26;123;43;80;0,25;NA;0,5;0;0,25;0,4902;0,3496
2020-06-15;"SUL";149;60;10;1;85;57;3;0;89;9;28;3;159;61;98;88;57;31;247;118;129;0,4027;0,1;0,6706;0;0,3836;0,6477;0,4777
2020-06-16;"CENTRO-LESTE";108;25;20;2;38;14;10;2;83;18;24;8;128;27;101;48;16;32;176;43;133;0,2315;0,1;0,3684;0,2;0,2109;0,3333;0,2443
2020-06-16;"CENTRO-NORTE";55;4;0;0;5;4;0;0;51;0;1;0;55;4;51;5;4;1;60;8;52;0,0727;NA;0,8;NA;0,0727;0,8;0,1333
2020-06-16;"EXTREMO-SUL";20;9;0;0;19;16;0;0;11;0;3;0;20;9;11;19;16;3;39;25;14;0,45;NA;0,8421;NA;0,45;0,8421;0,641
2020-06-16;"LESTE";648;479;27;13;584;452;27;10;169;14;132;17;675;492;183;611;462;149;1286;954;332;0,7392;0,4815;0,774;0,3704;0,7289;0,7561;0,7418
2020-06-16;"NORDESTE";21;4;0;0;15;9;0;0;17;0;6;0;21;4;17;15;9;6;36;13;23;0,1905;NA;0,6;NA;0,1905;0,6;0,3611
2020-06-16;"NORTE";79;20;2;0;20;16;0;0;59;2;4;0;81;20;61;20;16;4;101;36;65;0,2532;0;0,8;NA;0,2469;0,8;0,3564
2020-06-16;"OESTE";20;6;0;0;9;6;0;0;14;0;3;0;20;6;14;9;6;3;29;12;17;0,3;NA;0,6667;NA;0,3;0,6667;0,4138
2020-06-16;"SUDOESTE";72;16;0;0;50;29;1;0;56;0;21;1;72;16;56;51;29;22;123;45;78;0,2222;NA;0,58;0;0,2222;0,5686;0,3659
2020-06-16;"SUL";154;61;10;1;85;64;3;0;93;9;21;3;164;62;102;88;64;24;252;126;126;0,3961;0,1;0,7529;0;0,378;0,7273;0,5
2020-06-17;"CENTRO-LESTE";108;37;20;4;38;17;10;0;71;16;21;10;128;41;87;48;17;31;176;58;118;0,3426;0,2;0,4474;0;0,3203;0,3542;0,3295
2020-06-17;"CENTRO-NORTE";55;2;0;0;5;4;0;0;53;0;1;0;55;2;53;5;4;1;60;6;54;0,0364;NA;0,8;NA;0,0364;0,8;0,1
2020-06-17;"EXTREMO-SUL";20;7;0;0;21;18;0;0;13;0;3;0;20;7;13;21;18;3;41;25;16;0,35;NA;0,8571;NA;0,35;0,8571;0,6098
2020-06-17;"LESTE";648;469;27;13;584;469;27;9;179;14;115;18;675;482;193;611;478;133;1286;960;326;0,7238;0,4815;0,8031;0,3333;0,7141;0,7823;0,7465
2020-06-17;"NORDESTE";21;6;0;0;15;9;0;0;15;0;6;0;21;6;15;15;9;6;36;15;21;0,2857;NA;0,6;NA;0,2857;0,6;0,4167
2020-06-17;"NORTE";79;16;2;0;20;16;0;0;63;2;4;0;81;16;65;20;16;4;101;32;69;0,2025;0;0,8;NA;0,1975;0,8;0,3168
2020-06-17;"OESTE";20;6;0;0;9;8;0;0;14;0;1;0;20;6;14;9;8;1;29;14;15;0,3;NA;0,8889;NA;0,3;0,8889;0,4828
2020-06-17;"SUDOESTE";72;20;0;0;50;30;1;1;52;0;20;0;72;20;52;51;31;20;123;51;72;0,2778;NA;0,6;1;0,2778;0,6078;0,4146
2020-06-17;"SUL";154;70;10;1;85;67;3;1;84;9;18;2;164;71;93;88;68;20;252;139;113;0,4545;0,1;0,7882;0,3333;0,4329;0,7727;0,5516
2020-06-18;"CENTRO-LESTE";108;34;20;0;38;19;10;0;74;20;19;10;128;34;94;48;19;29;176;53;123;0,3148;0;0,5;0;0,2656;0,3958;0,3011
2020-06-18;"CENTRO-NORTE";55;2;0;0;5;4;0;0;53;0;1;0;55;2;53;5;4;1;60;6;54;0,0364;NA;0,8;NA;0,0364;0,8;0,1
2020-06-18;"EXTREMO-SUL";20;8;0;0;21;18;0;0;12;0;3;0;20;8;12;21;18;3;41;26;15;0,4;NA;0,8571;NA;0,4;0,8571;0,6341
2020-06-18;"LESTE";653;453;27;12;584;470;27;10;200;15;114;17;680;465;215;611;480;131;1291;945;346;0,6937;0,4444;0,8048;0,3704;0,6838;0,7856;0,732
2020-06-18;"NORDESTE";21;6;0;0;15;8;0;0;15;0;7;0;21;6;15;15;8;7;36;14;22;0,2857;NA;0,5333;NA;0,2857;0,5333;0,3889
2020-06-18;"NORTE";79;17;2;0;20;18;0;0;62;2;2;0;81;17;64;20;18;2;101;35;66;0,2152;0;0,9;NA;0,2099;0,9;0,3465
2020-06-18;"OESTE";20;6;0;0;9;8;0;0;14;0;1;0;20;6;14;9;8;1;29;14;15;0,3;NA;0,8889;NA;0,3;0,8889;0,4828
2020-06-18;"SUDOESTE";72;23;0;0;50;29;1;1;49;0;21;0;72;23;49;51;30;21;123;53;70;0,3194;NA;0,58;1;0,3194;0,5882;0,4309
2020-06-18;"SUL";161;66;10;1;85;64;3;2;95;9;21;1;171;67;104;88;66;22;259;133;126;0,4099;0,1;0,7529;0,6667;0,3918;0,75;0,5135
2020-06-19;"CENTRO-LESTE";98;36;20;2;30;18;10;3;62;18;12;7;118;38;80;40;21;19;158;59;99;0,3673;0,1;0,6;0,3;0,322;0,525;0,3734
2020-06-19;"CENTRO-NORTE";55;6;0;0;5;4;0;0;49;0;1;0;55;6;49;5;4;1;60;10;50;0,1091;NA;0,8;NA;0,1091;0,8;0,1667
2020-06-19;"EXTREMO-SUL";20;7;0;0;23;22;0;0;13;0;1;0;20;7;13;23;22;1;43;29;14;0,35;NA;0,9565;NA;0,35;0,9565;0,6744
2020-06-19;"LESTE";653;469;27;12;594;481;27;10;184;15;113;17;680;481;199;621;491;130;1301;972;329;0,7182;0,4444;0,8098;0,3704;0,7074;0,7907;0,7471
2020-06-19;"NORDESTE";21;5;0;0;15;7;0;0;16;0;8;0;21;5;16;15;7;8;36;12;24;0,2381;NA;0,4667;NA;0,2381;0,4667;0,3333
2020-06-19;"NORTE";79;18;2;0;20;18;0;0;61;2;2;0;81;18;63;20;18;2;101;36;65;0,2278;0;0,9;NA;0,2222;0,9;0,3564
2020-06-19;"OESTE";20;5;0;0;9;6;0;0;15;0;3;0;20;5;15;9;6;3;29;11;18;0,25;NA;0,6667;NA;0,25;0,6667;0,3793
2020-06-19;"SUDOESTE";72;22;0;0;50;29;1;0;50;0;21;1;72;22;50;51;29;22;123;51;72;0,3056;NA;0,58;0;0,3056;0,5686;0,4146
2020-06-19;"SUL";161;64;10;0;85;67;3;3;97;10;18;0;171;64;107;88;70;18;259;134;125;0,3975;0;0,7882;1;0,3743;0,7955;0,5174
2020-06-22;"CENTRO-LESTE";133;28;20;3;40;22;10;4;105;17;18;6;153;31;122;50;26;24;203;57;146;0,2105;0,15;0,55;0,4;0,2026;0,52;0,2808
2020-06-22;"CENTRO-NORTE";55;12;0;0;5;3;0;0;43;0;2;0;55;12;43;5;3;2;60;15;45;0,2182;NA;0,6;NA;0,2182;0,6;0,25
2020-06-22;"EXTREMO-SUL";20;8;0;0;24;22;0;0;12;0;2;0;20;8;12;24;22;2;44;30;14;0,4;NA;0,9167;NA;0,4;0,9167;0,6818
2020-06-22;"LESTE";667;465;27;9;607;483;27;4;202;18;124;23;694;474;220;634;487;147;1328;961;367;0,6972;0,3333;0,7957;0,1481;0,683;0,7681;0,7236
2020-06-22;"NORDESTE";21;6;0;0;15;7;0;0;15;0;8;0;21;6;15;15;7;8;36;13;23;0,2857;NA;0,4667;NA;0,2857;0,4667;0,3611
2020-06-22;"NORTE";79;19;2;0;20;15;0;0;60;2;5;0;81;19;62;20;15;5;101;34;67;0,2405;0;0,75;NA;0,2346;0,75;0,3366
2020-06-22;"OESTE";20;4;0;0;9;7;0;0;16;0;2;0;20;4;16;9;7;2;29;11;18;0,2;NA;0,7778;NA;0,2;0,7778;0,3793
2020-06-22;"SUDOESTE";72;20;0;0;50;28;1;1;52;0;22;0;72;20;52;51;29;22;123;49;74;0,2778;NA;0,56;1;0,2778;0,5686;0,3984
2020-06-22;"SUL";161;65;10;1;85;69;3;0;96;9;16;3;171;66;105;88;69;19;259;135;124;0,4037;0,1;0,8118;0;0,386;0,7841;0,5212
2020-06-23;"CENTRO-LESTE";133;31;20;4;41;23;10;4;102;16;18;6;153;35;118;51;27;24;204;62;142;0,2331;0,2;0,561;0,4;0,2288;0,5294;0,3039
2020-06-23;"CENTRO-NORTE";55;12;0;0;5;3;0;0;43;0;2;0;55;12;43;5;3;2;60;15;45;0,2182;NA;0,6;NA;0,2182;0,6;0,25
2020-06-23;"EXTREMO-SUL";20;7;0;0;25;23;0;0;13;0;2;0;20;7;13;25;23;2;45;30;15;0,35;NA;0,92;NA;0,35;0,92;0,6667
2020-06-23;"LESTE";667;490;27;10;607;488;27;6;177;17;119;21;694;500;194;634;494;140;1328;994;334;0,7346;0,3704;0,804;0,2222;0,7205;0,7792;0,7485
2020-06-23;"NORDESTE";21;6;0;0;15;8;0;0;15;0;7;0;21;6;15;15;8;7;36;14;22;0,2857;NA;0,5333;NA;0,2857;0,5333;0,3889
2020-06-23;"NORTE";79;19;2;0;20;13;0;0;60;2;7;0;81;19;62;20;13;7;101;32;69;0,2405;0;0,65;NA;0,2346;0,65;0,3168
2020-06-23;"OESTE";20;5;0;0;9;9;0;0;15;0;0;0;20;5;15;9;9;0;29;14;15;0,25;NA;1;NA;0,25;1;0,4828
2020-06-23;"SUDOESTE";72;27;0;0;50;25;1;1;45;0;25;0;72;27;45;51;26;25;123;53;70;0,375;NA;0,5;1;0,375;0,5098;0,4309
2020-06-23;"SUL";161;68;10;2;85;68;3;0;93;8;17;3;171;70;101;88;68;20;259;138;121;0,4224;0,2;0,8;0;0,4094;0,7727;0,5328
2020-06-24;"CENTRO-LESTE";133;42;20;4;42;22;10;0;91;16;20;10;153;46;107;52;22;30;205;68;137;0,3158;0,2;0,5238;0;0,3007;0,4231;0,3317
2020-06-24;"CENTRO-NORTE";55;11;0;0;5;3;0;0;44;0;2;0;55;11;44;5;3;2;60;14;46;0,2;NA;0,6;NA;0,2;0,6;0,2333
2020-06-24;"EXTREMO-SUL";20;8;0;0;25;23;0;0;12;0;2;0;20;8;12;25;23;2;45;31;14;0,4;NA;0,92;NA;0,4;0,92;0,6889
2020-06-24;"LESTE";667;489;27;12;607;500;27;10;178;15;107;17;694;501;193;634;510;124;1328;1011;317;0,7331;0,4444;0,8237;0,3704;0,7219;0,8044;0,7613
2020-06-24;"NORDESTE";12;6;0;0;12;9;0;0;6;0;3;0;12;6;6;12;9;3;24;15;9;0,5;NA;0,75;NA;0,5;0,75;0,625
2020-06-24;"NORTE";79;20;2;0;20;12;0;0;59;2;8;0;81;20;61;20;12;8;101;32;69;0,2532;0;0,6;NA;0,2469;0,6;0,3168
2020-06-24;"OESTE";20;2;0;0;9;9;0;0;18;0;0;0;20;2;18;9;9;0;29;11;18;0,1;NA;1;NA;0,1;1;0,3793
2020-06-24;"SUDOESTE";72;26;0;0;50;28;1;1;46;0;22;0;72;26;46;51;29;22;123;55;68;0,3611;NA;0,56;1;0,3611;0,5686;0,4472
2020-06-24;"SUL";161;69;10;1;87;68;3;0;92;9;19;3;171;70;101;90;68;22;261;138;123;0,4286;0,1;0,7816;0;0,4094;0,7556;0,5287
2020-06-25;"CENTRO-LESTE";133;44;20;4;42;21;10;0;89;16;21;10;153;48;105;52;21;31;205;69;136;0,3308;0,2;0,5;0;0,3137;0,4038;0,3366
2020-06-25;"CENTRO-NORTE";55;7;0;0;5;3;0;0;48;0;2;0;55;7;48;5;3;2;60;10;50;0,1273;NA;0,6;NA;0,1273;0,6;0,1667
2020-06-25;"EXTREMO-SUL";20;6;0;0;25;24;0;0;14;0;1;0;20;6;14;25;24;1;45;30;15;0,3;NA;0,96;NA;0,3;0,96;0,6667
2020-06-25;"LESTE";667;499;27;12;607;492;27;11;168;15;115;16;694;511;183;634;503;131;1328;1014;314;0,7481;0,4444;0,8105;0,4074;0,7363;0,7934;0,7636
2020-06-25;"NORDESTE";12;4;0;0;12;9;0;0;8;0;3;0;12;4;8;12;9;3;24;13;11;0,3333;NA;0,75;NA;0,3333;0,75;0,5417
